"","extGene","wt.group","ca1a.group","GENENAME","WT","ca1a","b","qval"
"116","FLI1",6,6,"Fli-1 proto-oncogene, ETS transcription factor",3.92828131093826,0.0249981407098212,-4.10892905421155,0.0248193388331753
"117","FLNA",1,4,"filamin A",256.724128910051,7.82099195943707,-3.44751534299242,1.08407274524277e-08
"118","FLOT2",6,4,"flotillin 2",107.391439209569,71.4815227639238,-0.497327666153818,0.0280225312433106
"119","FNTA",4,4,"farnesyltransferase, CAAX box, alpha",76.4271771516993,44.0952689603394,-0.631620563345473,0.00389598583419661
"120","FPGS",4,4,"folylpolyglutamate synthase",57.3701939710699,23.5810828733301,-0.97535783582576,3.73817710161932e-06
"121","FRS2",1,4,"fibroblast growth factor receptor substrate 2",8.93619858078585,4.72733771061032,-0.713634447194621,0.00354915388666545
"122","FRYL",6,4,"FRY like transcription coactivator",14.3466764997386,9.17300753267768,-0.532908758551446,0.0479288151859245
"123","FSTL3",1,4,"follistatin like 3",138.219434766012,16.3215715293194,-2.22697904504121,3.53679645848558e-32
"124","GALNT15",4,6,"polypeptide N-acetylgalactosaminyltransferase 15",1.24449808516142,0.509004581701672,-0.962719249682678,0.0900662210366642
"125","GALNT2",1,4,"polypeptide N-acetylgalactosaminyltransferase 2",104.244013274481,45.9919667753788,-0.911540694062808,8.32569041099171e-06
"126","GGPS1",3,4,"geranylgeranyl diphosphate synthase 1",37.1712860933142,16.3515684863925,-0.916789377050993,1.76852666557086e-05
"127","GHITM",4,4,"growth hormone inducible transmembrane protein",229.362844927859,156.684509862641,-0.473643913505875,0.0425535373710968
"128","GIT1",3,4,"GIT ArfGAP 1",40.0555974112962,23.6543758228453,-0.608829679412139,0.00528311007795092
"129","GJA3",1,4,"gap junction protein alpha 3",3.28802321595935,0.1299191164065,-3.25039468844293,6.80062771236742e-08
"130","GLDC",4,4,"glycine decarboxylase",9.03844865952431,0.065798294182558,-4.89203220511504,5.4095910252191e-16
"131","GPHN",4,4,"gephyrin",15.7424293062925,10.2559474993598,-0.517441038671725,0.0391572671421667
"132","GPM6B",3,4,"glycoprotein M6B",27.1009222733936,2.71759863929679,-2.3614081824974,1.12230892435765e-13
"133","GPS2",4,4,"G protein pathway suppressor 2",44.12868992637,31.6038661258163,-0.4316406170993,0.0942372978449306
"134","GPSM2",1,4,"G protein signaling modulator 2",48.9822691382251,14.6712953343044,-1.2870071059757,1.7012164727586e-10
"135","GRB10",4,6,"growth factor receptor bound protein 10",17.7214246431123,5.24153009877187,-1.29826782464417,3.61051585802117e-09
"136","GUCY2D",3,4,"guanylate cyclase 2D, retinal",0.0866844247594733,0.00658692658375116,-2.11187561390394,0.0226035384594201
"137","GUK1",4,4,"guanylate kinase 1",535.205315754964,171.81404497121,-1.22165109837856,5.57018313194802e-07
"138","HAUS3",6,4,"HAUS augmin like complex subunit 3",8.97809513945662,5.50395697031822,-0.570619376431169,0.0327131845604344
"139","HDHD2",4,4,"haloacid dehalogenase like hydrolase domain containing 2",22.3464242087937,10.1827954351723,-0.873993724439986,0.000878605502480905
"140","HECW1",3,4,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",0.222044657098508,0.040231194797884,-1.72379165790034,0.0348369342344337
"141","HIP1",1,4,"huntingtin interacting protein 1",10.4819938629901,4.21834885049347,-0.93809452291028,0.0370171236672118
"142","HMGCR",3,4,"3-hydroxy-3-methylglutaryl-CoA reductase",97.4498372362729,33.9465888931125,-1.14903640595925,5.28877547526174e-09
"143","HMGN5",3,6,"high mobility group nucleosome binding domain 5",19.3294203852527,4.18278727376401,-1.53468245055626,0.00507937067324715
"144","HNRNPC",1,6,"heterogeneous nuclear ribonucleoprotein C",625.91112022928,405.915497132874,-0.528757246289156,0.0397187155175095
"145","HNRNPH2",3,4,"heterogeneous nuclear ribonucleoprotein H2",51.4786537814842,36.3468164251872,-0.442942783009118,0.078616791403894
"146","HSD17B11",4,4,"hydroxysteroid 17-beta dehydrogenase 11",14.1737660231608,1.52456876902604,-2.29394061192459,3.86899771701209e-09
"147","HSPB11",1,4,"heat shock protein family B (small) member 11",90.8442566069959,57.7659921736441,-0.533802140720453,0.0404782725828754
"148","HSPB8",6,4,"heat shock protein family B (small) member 8",12.0890273488095,0.368154222640814,-3.5477358287054,3.86495283646257e-15
"149","HTATSF1",6,4,"HIV-1 Tat specific factor 1",36.4540247596462,26.4090108349242,-0.407539249598896,0.0898199895419664
"150","HTR7",1,4,"5-hydroxytryptamine receptor 7",1.36995667186921,0.343139286917401,-1.32171921486185,0.0715293614754011
"151","HYAL3",4,6,"hyaluronidase 3",10.5337903804497,5.55159657576714,-0.73925941122889,0.0610398569262873
"152","IDH3A",4,4,"isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha",59.7056841411413,37.4438191444852,-0.551430322070132,0.0128075348376812
"153","IER5",3,4,"immediate early response 5",43.1164390382384,26.3838189184365,-0.572578969111416,0.0144594591390101
"154","IFITM2",4,6,"interferon induced transmembrane protein 2",679.308168539617,70.6829324789907,-2.36788786581573,2.15508818509332e-36
"155","IGFBP6",3,4,"insulin like growth factor binding protein 6",38.2089123267453,15.1091172235108,-0.949603743467165,0.0870708671271157
"156","IGFL2",1,4,"IGF like family member 2",0.57009382260718,0,-2.70624502127882,0.000563474188454663
"157","IL6R",6,4,"interleukin 6 receptor",14.4698142877726,1.30469217174772,-2.28872408190453,0.00477939399201097
"158","IMPAD1",4,4,"inositol monophosphatase domain containing 1",34.0651460865282,22.5776771043192,-0.486141166362678,0.0789995539355545
"159","IQGAP2",4,4,"IQ motif containing GTPase activating protein 2",0.859632722439188,0.0964488224516687,-2.24450279184763,0.00022059831605999
"160","ITGA4",4,4,"integrin subunit alpha 4",2.49735315767951,0.0921224115406872,-2.91886872261024,0.0261476381268533
"161","JOSD1",1,4,"Josephin domain containing 1",47.146313937089,30.770161849391,-0.519779200080957,0.0205159781159275
"162","KATNA1",6,4,"katanin catalytic subunit A1",22.1980326623344,11.9725850316457,-0.712372548705877,0.0157990885072009
"163","KATNAL1",1,4,"katanin catalytic subunit A1 like 1",6.1442481404091,2.14427619352501,-1.1465125186231,1.20586129626901e-05
"164","KCTD10",1,4,"potassium channel tetramerization domain containing 10",28.8922963324582,15.7393199370733,-0.700203487299078,0.00122098674268307
"165","KCTD8",1,4,"potassium channel tetramerization domain containing 8",0.396021475058149,0,-3.74583861590654,3.63329314154496e-08
"166","KRT222",1,6,"keratin 222",2.90073129193276,0.0147506159421162,-4.74074718634111,6.67379345645613e-12
"167","LCP1",4,4,"lymphocyte cytosolic protein 1",46.3587300308369,2.03748720193457,-2.71764745951373,0.0583455009947993
"168","LGALS7B",3,4,"galectin 7B",4.0468778986901,0.0782077972065729,-3.46454246777404,4.92256389889123e-06
"169","LINC00526",6,4,"long intergenic non-protein coding RNA 526",0.762585801614288,0,-3.49113326878979,6.18098776638416e-07
"170","LINC00665",3,6,"long intergenic non-protein coding RNA 665",19.1460555778344,0.818177603839701,-3.22393714441598,1.71706901034225e-13
"171","LIX1L",1,4,"limb and CNS expressed 1 like",25.3863441964773,5.28475230731731,-1.65756458994495,1.12001102385717e-07
"172","LOC100126784",4,4,"uncharacterized LOC100126784",0.818712166819067,0.107517862495139,-1.84787455782595,0.040566351232642
"173","LRP4",3,4,"LDL receptor related protein 4",1.0436528544379,0.198998377693827,-1.71493329684559,0.00457041734149323
"174","LRRC8E",6,4,"leucine rich repeat containing 8 VRAC subunit E",14.3907882710535,8.16880615365113,-0.635500965449485,0.0428360374171489
"175","LRRK2",6,6,"leucine rich repeat kinase 2",2.06014894909284,0.00740888494501936,-5.1345993208936,0.00133632369454331
"176","LTBP1",3,4,"latent transforming growth factor beta binding protein 1",32.7722542945258,6.44657738971976,-1.5567250698448,0.0417359478675236
"177","MALT1",3,4,"MALT1 paracaspase",17.6106605347425,4.49963400242436,-1.45615457133366,4.7734867164578e-11
"178","MAMLD1",4,4,"mastermind like domain containing 1",3.22174718775048,1.29077356511892,-1.00541121091657,0.0163279161254262
"179","MAPK4",6,4,"mitogen-activated protein kinase 4",2.77183335760499,0.511124030533665,-1.56007535315273,0.07392395047717
"180","MAPK6",4,4,"mitogen-activated protein kinase 6",68.1823948898316,26.896738737042,-0.985106317136247,0.00241808519604613
"181","MAPKAPK2",1,4,"MAPK activated protein kinase 2",76.7049108967661,37.6215382734801,-0.806584355380262,9.10152648273752e-05
"182","MB21D2",1,4,"Mab-21 domain containing 2",2.65539311368412,0.646647876133118,-1.51216297456991,0.00167577491016776
"183","MBNL1",1,6,"muscleblind like splicing regulator 1",50.3794637588747,31.5388704700784,-0.563141527991448,0.0109982332408331
"184","MCL1",4,4,"MCL1 apoptosis regulator, BCL2 family member",355.243552547825,127.353944055719,-1.12079536759294,1.07895430915598e-07
"185","MDM2",4,4,"MDM2 proto-oncogene",29.3190665077939,15.4050107869362,-0.73898127820601,0.000705704610261257
"186","MED10",3,4,"mediator complex subunit 10",40.7339528707343,23.0772931372498,-0.659352742440332,0.0233711781859596
"187","MED13L",6,4,"mediator complex subunit 13L",13.8434770596008,7.63719051354701,-0.65782824389268,0.0332801032949769
"188","MEX3B",6,4,"mex-3 RNA binding family member B",0.848442040285349,0.163260475504661,-1.67352129450209,0.0070283279378778
"189","MMS19",3,4,"MMS19 homolog, cytosolic iron-sulfur assembly component",50.3341960297976,30.0647161004973,-0.595078134079159,0.0064421963003324
"190","MPP6",3,4,"membrane palmitoylated protein 6",12.0326673711254,6.28951038246281,-0.707598401396028,0.0565847984028829
"191","MRPL24",3,4,"mitochondrial ribosomal protein L24",189.829478658116,141.106245958502,-0.398886613099658,0.093195846053583
"192","MRPL49",3,4,"mitochondrial ribosomal protein L49",48.6200407301704,34.2277860629161,-0.438490248217854,0.0665633036956741
"193","MSH3",6,4,"mutS homolog 3",11.0642387292805,7.64324002113309,-0.464741268277911,0.0910170441565099
"194","NAGPA",3,4,"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase",10.6254007602887,6.05901534133354,-0.658315887926507,0.0941817212154459
"195","NAP1L4",3,4,"nucleosome assembly protein 1 like 4",106.781919135314,74.9774349728104,-0.44275920301298,0.0558646613950526
"196","NAPEPLD",3,4,"N-acyl phosphatidylethanolamine phospholipase D",6.88708742528651,4.15256794048161,-0.572194032795047,0.0607622810448158
"197","NAV1",6,4,"neuron navigator 1",10.190980683786,4.49416468526689,-0.848627910948665,0.0834850155911639
"198","NAV2",1,4,"neuron navigator 2",28.7133513094163,8.34308562115353,-1.32883793381761,2.11031648113721e-11
"199","NDFIP2",4,4,"Nedd4 family interacting protein 2",48.3195380289028,20.7569874047818,-0.879015863265258,0.0418999669269988
"200","NDUFA5",1,4,"NADH:ubiquinone oxidoreductase subunit A5",78.7645158512587,55.8989963794617,-0.421465059185545,0.0721347069639568
"201","NDUFS2",4,4,"NADH:ubiquinone oxidoreductase core subunit S2",170.21041080644,92.7455594753725,-0.702135307826634,0.00093279212050313
"202","NEDD4L",1,4,"NEDD4 like E3 ubiquitin protein ligase",31.8458640116337,12.7357004590074,-0.943214052080078,0.03855076134011
"203","NENF",1,4,"neudesin neurotrophic factor",187.110018401857,64.0297086007934,-1.16798519455083,6.22960137668915e-09
"204","NME7",1,4,"NME/NM23 family member 7",27.2606970654754,8.90177629008704,-1.21527486044012,1.02885993683294e-05
"205","NPC1",4,4,"NPC intracellular cholesterol transporter 1",29.5863978527018,15.0986383662874,-0.768388380067154,0.00045991839853539
"206","NR3C1",3,4,"nuclear receptor subfamily 3 group C member 1",37.1962392917575,16.3216912230282,-0.876459305479455,0.0107513984997896
"207","NRSN2",3,4,"neurensin 2",8.88498647047537,2.41237708548038,-1.39793281108496,0.000164672141633031
"208","NTPCR",6,4,"nucleoside-triphosphatase, cancer-related",98.0458294824117,49.9105891556439,-0.775776079220209,0.00189950709927235
"209","NUB1",6,4,"negative regulator of ubiquitin like proteins 1",59.212076544312,19.2813315291685,-1.2178963598867,5.12177583777047e-09
"210","NUBP2",1,4,"nucleotide binding protein 2",71.281790414874,35.4045133479859,-0.790557492594166,0.000449406736308802
"211","NUCKS1",6,4,"nuclear casein kinase and cyclin dependent kinase substrate 1",251.813642664566,88.6889101558755,-1.11630372135824,8.97751934138742e-06
"212","OLFML3",1,6,"olfactomedin like 3",0.917034391215815,0,-4.25674473846007,2.80428244792627e-11
"213","OSBPL10",3,4,"oxysterol binding protein like 10",33.5538920232441,18.8155705245942,-0.67351045668191,0.00175125794990461
"214","OXR1",4,4,"oxidation resistance 1",32.3239403710906,19.9797831339719,-0.547907704438405,0.0844531582391729
"215","PCDH9",6,4,"protocadherin 9",3.96858812152843,0.266353712422489,-2.60406631817604,0.000171277640114472
"216","PCGF5",1,4,"polycomb group ring finger 5",28.968070259471,18.8447180947571,-0.516577639447772,0.0237807046546181
"217","PDE7B",1,6,"phosphodiesterase 7B",3.0911043794465,0.0576011258492292,-3.61674092982909,0.00120961166156957
"218","PEA15",1,4,"proliferation and apoptosis adaptor protein 15",159.658555930012,34.6957899616378,-1.58164882579226,3.01565145424507e-06
"219","PEF1",6,4,"penta-EF-hand domain containing 1",58.6179559480599,41.1989539692746,-0.449522743840607,0.0593733524876771
"220","PES1",6,4,"pescadillo ribosomal biogenesis factor 1",104.337373374758,48.3175555416831,-0.838720218492158,0.00533740848381835
"221","PHACTR2",1,4,"phosphatase and actin regulator 2",6.06219469744119,3.0037045102013,-0.79447838699396,0.0011872178614175
"222","PI4K2B",3,4,"phosphatidylinositol 4-kinase type 2 beta",30.6946294284631,13.7195698323492,-0.884844903223897,5.38854448005442e-05
