"","SYMBOL","GENENAME"
"104","AMHR2","anti-Mullerian hormone receptor type 2"
"105","AMIGO3","adhesion molecule with Ig like domain 3"
"106","AMN","amnion associated transmembrane protein"
"107","AMPD1","adenosine monophosphate deaminase 1"
"108","AMT","aminomethyltransferase"
"109","AMTN","amelotin"
"110","AMZ1","archaelysin family metallopeptidase 1"
"111","ANGPT1","angiopoietin 1"
"112","ANGPTL1","angiopoietin like 1"
"113","ANGPTL6","angiopoietin like 6"
"114","ANK2","ankyrin 2"
"115","ANKEF1","ankyrin repeat and EF-hand domain containing 1"
"116","ANKFN1","ankyrin repeat and fibronectin type III domain containing 1"
"117","ANKH","ANKH inorganic pyrophosphate transport regulator"
"118","ANKRD13B","ankyrin repeat domain 13B"
"119","ANKRD13D","ankyrin repeat domain 13D"
"120","ANKRD23","ankyrin repeat domain 23"
"121","ANKRD24","ankyrin repeat domain 24"
"122","ANKRD29","ankyrin repeat domain 29"
"123","ANKRD30A","ankyrin repeat domain 30A"
"124","ANKRD36B","ankyrin repeat domain 36B"
"125","ANKRD54","ankyrin repeat domain 54"
"126","ANKRD55","ankyrin repeat domain 55"
"127","ANKRD65","ankyrin repeat domain 65"
"128","ANO1","anoctamin 1"
"129","ANO7","anoctamin 7"
"130","ANXA1","annexin A1"
"131","ANXA11","annexin A11"
"132","ANXA2","annexin A2"
"133","ANXA2P2","annexin A2 pseudogene 2"
"134","ANXA2P3","annexin A2 pseudogene 3"
"135","ANXA2R","annexin A2 receptor"
"136","AOC2","amine oxidase copper containing 2"
"137","AP1M1","adaptor related protein complex 1 subunit mu 1"
"138","AP5B1","adaptor related protein complex 5 subunit beta 1"
"139","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein"
"140","APC2","APC regulator of WNT signaling pathway 2"
"141","APEX2","apurinic/apyrimidinic endodeoxyribonuclease 2"
"142","APOD","apolipoprotein D"
"143","APOL2","apolipoprotein L2"
"144","APOL4","apolipoprotein L4"
"145","APOL5","apolipoprotein L5"
"146","APOM","apolipoprotein M"
"147","APOOL","apolipoprotein O like"
"148","APRT","adenine phosphoribosyltransferase"
"149","AQP10","aquaporin 10"
"150","AQP12B","aquaporin 12B"
"151","AQP4-AS1","AQP4 antisense RNA 1"
"152","AQP7P1","aquaporin 7 pseudogene 1"
"153","ARF4","ADP ribosylation factor 4"
"154","ARG1","arginase 1"
"155","ARGFXP2","arginine-fifty homeobox pseudogene 2"
"156","ARHGAP17","Rho GTPase activating protein 17"
"157","ARHGAP23","Rho GTPase activating protein 23"
"158","ARHGAP24","Rho GTPase activating protein 24"
"159","ARHGAP28","Rho GTPase activating protein 28"
"160","ARHGAP33","Rho GTPase activating protein 33"
"161","ARHGAP36","Rho GTPase activating protein 36"
"162","ARHGAP39","Rho GTPase activating protein 39"
"163","ARHGAP4","Rho GTPase activating protein 4"
"164","ARHGEF11","Rho guanine nucleotide exchange factor 11"
"165","ARHGEF18","Rho/Rac guanine nucleotide exchange factor 18"
"166","ARHGEF19","Rho guanine nucleotide exchange factor 19"
"167","ARHGEF3-AS1","ARHGEF3 antisense RNA 1"
"168","ARHGEF38","Rho guanine nucleotide exchange factor 38"
"169","ARHGEF38-IT1","ARHGEF38 intronic transcript 1"
"170","ARHGEF4","Rho guanine nucleotide exchange factor 4"
"171","ARHGEF7","Rho guanine nucleotide exchange factor 7"
"172","ARID2","AT-rich interaction domain 2"
"173","ARID3A","AT-rich interaction domain 3A"
"174","ARIH2OS","ariadne RBR E3 ubiquitin protein ligase 2 opposite strand"
"175","ARL10","ADP ribosylation factor like GTPase 10"
"176","ARL14","ADP ribosylation factor like GTPase 14"
"177","ARL2","ADP ribosylation factor like GTPase 2"
"178","ARL6IP4","ADP ribosylation factor like GTPase 6 interacting protein 4"
"179","ARMCX2","armadillo repeat containing X-linked 2"
"180","ARMCX4","armadillo repeat containing X-linked 4"
"181","ARMCX5","armadillo repeat containing X-linked 5"
"182","ARMCX5-GPRASP2","ARMCX5-GPRASP2 readthrough"
"183","ARNT2","aryl hydrocarbon receptor nuclear translocator 2"
"184","ARNTL2","aryl hydrocarbon receptor nuclear translocator like 2"
"185","ARPC2","actin related protein 2/3 complex subunit 2"
"186","ARPP19","cAMP regulated phosphoprotein 19"
"187","ARR3","arrestin 3"
"188","ARRDC3","arrestin domain containing 3"
"189","ARRDC4","arrestin domain containing 4"
"190","ARSB","arylsulfatase B"
"191","ARSG","arylsulfatase G"
"192","ART4","ADP-ribosyltransferase 4 (Dombrock blood group)"
"193","ASAH2","N-acylsphingosine amidohydrolase 2"
"194","ASAP1-IT1","ASAP1 intronic transcript 1"
"195","ASB10","ankyrin repeat and SOCS box containing 10"
"196","ASB13","ankyrin repeat and SOCS box containing 13"
"197","ASB15","ankyrin repeat and SOCS box containing 15"
"198","ASB17","ankyrin repeat and SOCS box containing 17"
"199","ASB18","ankyrin repeat and SOCS box containing 18"
"200","ASB3","ankyrin repeat and SOCS box containing 3"
"201","ASB4","ankyrin repeat and SOCS box containing 4"
"202","ASB5","ankyrin repeat and SOCS box containing 5"
"203","ASCC2","activating signal cointegrator 1 complex subunit 2"
"204","ASCL1","achaete-scute family bHLH transcription factor 1"
"205","ASCL4","achaete-scute family bHLH transcription factor 4"
"206","ASIC1","acid sensing ion channel subunit 1"
"207","ASIC4","acid sensing ion channel subunit family member 4"
"208","ASIP","agouti signaling protein"
"209","ASPA","aspartoacylase"
"210","ASPH","aspartate beta-hydroxylase"
"211","ATAD3C","ATPase family AAA domain containing 3C"
"212","ATE1","arginyltransferase 1"
"213","ATF7","activating transcription factor 7"
"214","ATF7IP","activating transcription factor 7 interacting protein"
"215","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"216","ATL1","atlastin GTPase 1"
"217","ATOH7","atonal bHLH transcription factor 7"
"218","ATP12A","ATPase H+/K+ transporting non-gastric alpha2 subunit"
"219","ATP13A3","ATPase 13A3"
"220","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1"
"221","ATP1B2","ATPase Na+/K+ transporting subunit beta 2"
"222","ATP2A1","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"
"223","ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3"
"224","ATP5D",NA
"225","ATP5EP2",NA
"226","ATP5I",NA
"227","ATP5SL",NA
"228","ATP6AP1","ATPase H+ transporting accessory protein 1"
"229","ATP6V0C","ATPase H+ transporting V0 subunit c"
"230","ATP6V0CP3","ATPase H+ transporting V0 subunit c pseudogene 3"
"231","ATP6V1E2","ATPase H+ transporting V1 subunit E2"
"232","ATP6V1G2","ATPase H+ transporting V1 subunit G2"
"233","ATP7A","ATPase copper transporting alpha"
"234","ATP8B4","ATPase phospholipid transporting 8B4 (putative)"
"235","ATXN1","ataxin 1"
"236","ATXN3L","ataxin 3 like"
"237","AWAT1","acyl-CoA wax alcohol acyltransferase 1"
"238","AZU1","azurocidin 1"
"239","B3GALT5","beta-1,3-galactosyltransferase 5"
"240","B3GALTL",NA
"241","B4GALT5","beta-1,4-galactosyltransferase 5"
"242","BACH1","BTB domain and CNC homolog 1"
"243","BAGE","B melanoma antigen"
"244","BAI3",NA
"245","BAIAP2","BAR/IMD domain containing adaptor protein 2"
"246","BAIAP3","BAI1 associated protein 3"
"247","BANF2","barrier to autointegration factor 2"
"248","BANP","BTG3 associated nuclear protein"
"249","BBIP1","BBSome interacting protein 1"
"250","BBOX1","gamma-butyrobetaine hydroxylase 1"
"251","BCAP29","B cell receptor associated protein 29"
"252","BCAP31","B cell receptor associated protein 31"
"253","BCAS2","BCAS2 pre-mRNA processing factor"
"254","BCAS4","breast carcinoma amplified sequence 4"
"255","BCAT2","branched chain amino acid transaminase 2"
"256","BCCIP","BRCA2 and CDKN1A interacting protein"
"257","BCKDHA","branched chain keto acid dehydrogenase E1 subunit alpha"
"258","BCL11A","BAF chromatin remodeling complex subunit BCL11A"
"259","BCL2","BCL2 apoptosis regulator"
"260","BCL2L10","BCL2 like 10"
"261","BCO2","beta-carotene oxygenase 2"
"262","BDKRB1","bradykinin receptor B1"
"263","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
"264","BET1","Bet1 golgi vesicular membrane trafficking protein"
"265","BFSP1","beaded filament structural protein 1"
"266","BHLHA15","basic helix-loop-helix family member a15"
"267","BHLHA9","basic helix-loop-helix family member a9"
"268","BHMT","betaine--homocysteine S-methyltransferase"
"269","BIN3","bridging integrator 3"
"270","BIRC7","baculoviral IAP repeat containing 7"
"271","BLMH","bleomycin hydrolase"
"272","BLZF1","basic leucine zipper nuclear factor 1"
"273","BMP3","bone morphogenetic protein 3"
"274","BMP5","bone morphogenetic protein 5"
"275","BMPR1A","bone morphogenetic protein receptor type 1A"
"276","BNIPL","BCL2 interacting protein like"
"277","BOP1","BOP1 ribosomal biogenesis factor"
"278","BPIFB2","BPI fold containing family B member 2"
"279","BPIFB3","BPI fold containing family B member 3"
"280","BPIFB4","BPI fold containing family B member 4"
"281","BPIFC","BPI fold containing family C"
"282","BPNT1","3'(2'), 5'-bisphosphate nucleotidase 1"
"283","BRAT1","BRCA1 associated ATM activator 1"
"284","BREA2","breast cancer estrogen-induced apoptosis 2"
"285","BRI3BP","BRI3 binding protein"
"286","BRICD5","BRICHOS domain containing 5"
"287","BRWD1-AS1","BRWD1 antisense RNA 1"
"288","BRWD1-IT2",NA
"289","BRWD3","bromodomain and WD repeat domain containing 3"
"290","BSG","basigin (Ok blood group)"
"291","BSN-AS2",NA
"292","BSPH1","binder of sperm protein homolog 1"
"293","BTBD1","BTB domain containing 1"
"294","BTBD16","BTB domain containing 16"
"295","BTBD17","BTB domain containing 17"
"296","BTBD3","BTB domain containing 3"
"297","BTG3","BTG anti-proliferation factor 3"
"298","BTNL9","butyrophilin like 9"
"299","BZW2","basic leucine zipper and W2 domains 2"
"300","C10orf107",NA
"301","C10orf11",NA
"302","C10orf12",NA
"303","C10orf128",NA
"304","C10orf129",NA
"305","C10orf131",NA
"306","C10orf99","chromosome 10 open reading frame 99"
"307","C11orf74","chromosome 11 open reading frame 74"
"308","C11orf87","chromosome 11 open reading frame 87"
"309","C12orf42","chromosome 12 open reading frame 42"
"310","C12orf54","chromosome 12 open reading frame 54"
"311","C12orf56","chromosome 12 open reading frame 56"
"312","C12orf60","chromosome 12 open reading frame 60"
"313","C12orf75","chromosome 12 open reading frame 75"
"314","C14orf183",NA
"315","C14orf93","chromosome 14 open reading frame 93"
"316","C15orf26",NA
"317","C15orf32","chromosome 15 open reading frame 32"
"318","C15orf43",NA
"319","C15orf48","chromosome 15 open reading frame 48"
"320","C15orf57",NA
"321","C16orf74","chromosome 16 open reading frame 74"
"322","C17orf105",NA
"323","C17orf62",NA
"324","C17orf82","chromosome 17 open reading frame 82"
"325","C18orf63","chromosome 18 open reading frame 63"
"326","C19orf26",NA
"327","C19orf40",NA
"328","C19orf43",NA
"329","C1D","C1D nuclear receptor corepressor"
"330","C1QBP","complement C1q binding protein"
"331","C1QC","complement C1q C chain"
"332","C1QL3","complement C1q like 3"
"333","C1QTNF9B","C1q and TNF related 9B"
"334","C1R","complement C1r"
"335","C1S","complement C1s"
"336","C1orf100","chromosome 1 open reading frame 100"
"337","C1orf101",NA
"338","C1orf110",NA
"339","C1orf111",NA
"340","C1orf146","chromosome 1 open reading frame 146"
"341","C1orf162","chromosome 1 open reading frame 162"
"342","C1orf168",NA
"343","C1orf189","chromosome 1 open reading frame 189"
"344","C1orf192",NA
"345","C1orf21","chromosome 1 open reading frame 21"
"346","C1orf226","chromosome 1 open reading frame 226"
"347","C1orf233",NA
"348","C1orf65",NA
"349","C1orf68","chromosome 1 open reading frame 68"
"350","C1orf87","chromosome 1 open reading frame 87"
"351","C20orf144","chromosome 20 open reading frame 144"
"352","C20orf203","chromosome 20 open reading frame 203"
"353","C21orf15",NA
"354","C21orf37",NA
"355","C21orf54",NA
"356","C22orf26",NA
"357","C2CD4A","C2 calcium dependent domain containing 4A"
"358","C2CD4C","C2 calcium dependent domain containing 4C"
"359","C2orf27A","chromosome 2 open reading frame 27A"
"360","C2orf53",NA
"361","C2orf66","chromosome 2 open reading frame 66"
"362","C2orf74","chromosome 2 open reading frame 74"
"363","C2orf88","chromosome 2 open reading frame 88"
"364","C2orf91","chromosome 2 open reading frame 91"
"365","C3AR1","complement C3a receptor 1"
"366","C3P1","complement component 3 precursor pseudogene"
"367","C3orf20","chromosome 3 open reading frame 20"
"368","C3orf62","chromosome 3 open reading frame 62"
"369","C3orf65",NA
"370","C3orf70","chromosome 3 open reading frame 70"
"371","C4orf17","chromosome 4 open reading frame 17"
"372","C4orf19","chromosome 4 open reading frame 19"
"373","C4orf6",NA
"374","C5","complement C5"
"375","C5orf34","chromosome 5 open reading frame 34"
"376","C5orf60","chromosome 5 open reading frame 60"
"377","C6orf163","chromosome 6 open reading frame 163"
"378","C6orf222",NA
"379","C6orf25",NA
"380","C7orf43",NA
"381","C7orf62",NA
"382","C7orf66","chromosome 7 open reading frame 66"
"383","C7orf71",NA
"384","C8orf22",NA
"385","C8orf4",NA
"386","C8orf48","chromosome 8 open reading frame 48"
"387","C8orf56",NA
"388","C8orf76","chromosome 8 open reading frame 76"
"389","C8orf82","chromosome 8 open reading frame 82"
"390","C8orf87","chromosome 8 open reading frame 87"
"391","C9","complement C9"
"392","C9orf129","chromosome 9 open reading frame 129"
"393","C9orf170","chromosome 9 open reading frame 170"
"394","C9orf171",NA
"395","C9orf3",NA
"396","C9orf41",NA
"397","C9orf50","chromosome 9 open reading frame 50"
"398","C9orf57","chromosome 9 open reading frame 57"
"399","C9orf64","chromosome 9 open reading frame 64"
"400","C9orf66",NA
"401","C9orf96",NA
"402","CA10","carbonic anhydrase 10"
"403","CA14","carbonic anhydrase 14"
"404","CA2","carbonic anhydrase 2"
"405","CABP4","calcium binding protein 4"
"406","CABP5","calcium binding protein 5"
"407","CABS1","calcium binding protein, spermatid associated 1"
"408","CACFD1","calcium channel flower domain containing 1"
"409","CACNA1A","calcium voltage-gated channel subunit alpha1 A"
"410","CACNA1C-AS4","CACNA1C antisense RNA 4"
"411","CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"412","CACNA2D3-AS1","CACNA2D3 antisense RNA 1"
"413","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
"414","CACNG7","calcium voltage-gated channel auxiliary subunit gamma 7"
"415","CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8"
"416","CADPS2","calcium dependent secretion activator 2"
"417","CALHM2","calcium homeostasis modulator family member 2"
"418","CAMK1G","calcium/calmodulin dependent protein kinase IG"
"419","CAMTA1","calmodulin binding transcription activator 1"
"420","CAND2","cullin associated and neddylation dissociated 2 (putative)"
"421","CAPN13","calpain 13"
"422","CAPN3","calpain 3"
"423","CARD10","caspase recruitment domain family member 10"
"424","CARM1","coactivator associated arginine methyltransferase 1"
"425","CASK","calcium/calmodulin dependent serine protein kinase"
"426","CASP1","caspase 1"
"427","CASP5","caspase 5"
"428","CASS4","Cas scaffold protein family member 4"
"429","CAST","calpastatin"
"430","CBWD2","COBW domain containing 2"
"431","CBY3","chibby family member 3"
"432","CC2D1A","coiled-coil and C2 domain containing 1A"
"433","CC2D2A","coiled-coil and C2 domain containing 2A"
"434","CCDC105","coiled-coil domain containing 105"
"435","CCDC114","coiled-coil domain containing 114"
"436","CCDC13-AS1","CCDC13 antisense RNA 1"
"437","CCDC138","coiled-coil domain containing 138"
"438","CCDC141","coiled-coil domain containing 141"
"439","CCDC150","coiled-coil domain containing 150"
"440","CCDC152","coiled-coil domain containing 152"
"441","CCDC153","coiled-coil domain containing 153"
"442","CCDC154","coiled-coil domain containing 154"
"443","CCDC157","coiled-coil domain containing 157"
"444","CCDC158","coiled-coil domain containing 158"
"445","CCDC166","coiled-coil domain containing 166"
"446","CCDC170","coiled-coil domain containing 170"
"447","CCDC178","coiled-coil domain containing 178"
"448","CCDC179","coiled-coil domain containing 179"
"449","CCDC3","coiled-coil domain containing 3"
"450","CCDC30","coiled-coil domain containing 30"
"451","CCDC33","coiled-coil domain containing 33"
"452","CCDC42B",NA
"453","CCDC54","coiled-coil domain containing 54"
"454","CCDC57","coiled-coil domain containing 57"
"455","CCDC58","coiled-coil domain containing 58"
"456","CCDC64",NA
"457","CCDC65","coiled-coil domain containing 65"
"458","CCDC71","coiled-coil domain containing 71"
"459","CCDC73","coiled-coil domain containing 73"
"460","CCDC8","coiled-coil domain containing 8"
"461","CCDC83","coiled-coil domain containing 83"
"462","CCDC88C","coiled-coil domain containing 88C"
"463","CCDC9","coiled-coil domain containing 9"
"464","CCDC91","coiled-coil domain containing 91"
"465","CCER1","coiled-coil glutamate rich protein 1"
"466","CCIN","calicin"
"467","CCKAR","cholecystokinin A receptor"
"468","CCL1","C-C motif chemokine ligand 1"
"469","CCL15","C-C motif chemokine ligand 15"
"470","CCL18","C-C motif chemokine ligand 18"
"471","CCL23","C-C motif chemokine ligand 23"
"472","CCL25","C-C motif chemokine ligand 25"
"473","CCL26","C-C motif chemokine ligand 26"
"474","CCL27","C-C motif chemokine ligand 27"
"475","CCL4","C-C motif chemokine ligand 4"
"476","CCL5","C-C motif chemokine ligand 5"
"477","CCL8","C-C motif chemokine ligand 8"
"478","CCNB3","cyclin B3"
"479","CCNF","cyclin F"
"480","CCNG2","cyclin G2"
"481","CCNI","cyclin I"
"482","CCNJ","cyclin J"
"483","CCNY","cyclin Y"
"484","CCR10","C-C motif chemokine receptor 10"
"485","CCR2","C-C motif chemokine receptor 2"
"486","CCR3","C-C motif chemokine receptor 3"
"487","CCR9","C-C motif chemokine receptor 9"
"488","CCT8L2","chaperonin containing TCP1 subunit 8 like 2"
"489","CD163","CD163 molecule"
"490","CD163L1","CD163 molecule like 1"
"491","CD177","CD177 molecule"
"492","CD19","CD19 molecule"
"493","CD1C","CD1c molecule"
"494","CD1D","CD1d molecule"
"495","CD200R1","CD200 receptor 1"
"496","CD36","CD36 molecule"
"497","CD3E","CD3e molecule"
"498","CD3G","CD3g molecule"
"499","CD52","CD52 molecule"
"500","CD53","CD53 molecule"
"501","CD79A","CD79a molecule"
"502","CD80","CD80 molecule"
"503","CD8A","CD8a molecule"
"504","CD96","CD96 molecule"
"505","CDAN1","codanin 1"
"506","CDC16","cell division cycle 16"
"507","CDC34","cell division cycle 34"
"508","CDC42","cell division cycle 42"
"509","CDC42BPA","CDC42 binding protein kinase alpha"
"510","CDCP2","CUB domain containing protein 2"
"511","CDH10","cadherin 10"
"512","CDH19","cadherin 19"
"513","CDH2","cadherin 2"
"514","CDH9","cadherin 9"
"515","CDIP1","cell death inducing p53 target 1"
"516","CDIPT-AS1",NA
"517","CDK10","cyclin dependent kinase 10"
"518","CDK5R2","cyclin dependent kinase 5 regulatory subunit 2"
"519","CDKAL1","CDK5 regulatory subunit associated protein 1 like 1"
"520","CDKL2","cyclin dependent kinase like 2"
"521","CDKL4","cyclin dependent kinase like 4"
"522","CDKN1A","cyclin dependent kinase inhibitor 1A"
"523","CDR2L","cerebellar degeneration related protein 2 like"
"524","CDRT15L2","CMT1A duplicated region transcript 15 like 2"
"525","CDRT15P1","CMT1A duplicated region transcript 15 pseudogene 1"
"526","CDRT15P2","CMT1A duplicated region transcript 15 pseudogene 2"
"527","CDS2","CDP-diacylglycerol synthase 2"
"528","CDX2","caudal type homeobox 2"
"529","CDYL2","chromodomain Y like 2"
"530","CEACAM18","CEA cell adhesion molecule 18"
"531","CEACAM22P","CEA cell adhesion molecule 22, pseudogene"
"532","CEACAM3","CEA cell adhesion molecule 3"
"533","CEACAM4","CEA cell adhesion molecule 4"
"534","CEACAM8","CEA cell adhesion molecule 8"
"535","CEBPA","CCAAT enhancer binding protein alpha"
"536","CEBPD","CCAAT enhancer binding protein delta"
"537","CEBPG","CCAAT enhancer binding protein gamma"
"538","CECR1",NA
"539","CECR2","CECR2 histone acetyl-lysine reader"
"540","CELA3B","chymotrypsin like elastase 3B"
"541","CELF2-AS2","CELF2 antisense RNA 2"
"542","CELF3","CUGBP Elav-like family member 3"
"543","CELF4","CUGBP Elav-like family member 4"
"544","CENPE","centromere protein E"
"545","CENPQ","centromere protein Q"
"546","CENPV","centromere protein V"
"547","CEP128","centrosomal protein 128"
"548","CEPT1","choline/ethanolamine phosphotransferase 1"
"549","CERCAM","cerebral endothelial cell adhesion molecule"
"550","CERS3","ceramide synthase 3"
"551","CES1P2","carboxylesterase 1 pseudogene 2"
"552","CETP","cholesteryl ester transfer protein"
"553","CFHR3","complement factor H related 3"
"554","CGA","glycoprotein hormones, alpha polypeptide"
"555","CGB",NA
"556","CGB1","chorionic gonadotropin subunit beta 1"
"557","CGB5","chorionic gonadotropin subunit beta 5"
"558","CHADL","chondroadherin like"
"559","CHAF1A","chromatin assembly factor 1 subunit A"
"560","CHD1L","chromodomain helicase DNA binding protein 1 like"
"561","CHD4","chromodomain helicase DNA binding protein 4"
"562","CHDH","choline dehydrogenase"
"563","CHEK2P2","checkpoint kinase 2 pseudogene 2"
"564","CHI3L2","chitinase 3 like 2"
"565","CHMP6","charged multivesicular body protein 6"
"566","CHODL","chondrolectin"
"567","CHODL-AS1","CHODL antisense RNA 1"
"568","CHRD","chordin"
"569","CHRM5","cholinergic receptor muscarinic 5"
"570","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit"
"571","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit"
"572","CHRNB1","cholinergic receptor nicotinic beta 1 subunit"
"573","CHRNB3","cholinergic receptor nicotinic beta 3 subunit"
"574","CHST4","carbohydrate sulfotransferase 4"
"575","CHST6","carbohydrate sulfotransferase 6"
"576","CIDEA","cell death inducing DFFA like effector a"
"577","CIDEC","cell death inducing DFFA like effector c"
"578","CILP","cartilage intermediate layer protein"
"579","CINP","cyclin dependent kinase 2 interacting protein"
"580","CIR1","corepressor interacting with RBPJ, 1"
"581","CIRBP","cold inducible RNA binding protein"
"582","CKM","creatine kinase, M-type"
"583","CKMT2","creatine kinase, mitochondrial 2"
"584","CLC","Charcot-Leyden crystal galectin"
"585","CLCN4","chloride voltage-gated channel 4"
"586","CLDN17","claudin 17"
"587","CLDN2","claudin 2"
"588","CLDN20","claudin 20"
"589","CLDN24","claudin 24"
"590","CLEC17A","C-type lectin domain containing 17A"
"591","CLEC19A","C-type lectin domain containing 19A"
