"","SYMBOL","GENENAME"
"358","C16orf72","chromosome 16 open reading frame 72"
"359","C16orf78","chromosome 16 open reading frame 78"
"360","C16orf82","chromosome 16 open reading frame 82"
"361","C16orf87","chromosome 16 open reading frame 87"
"362","C16orf90","chromosome 16 open reading frame 90"
"363","C16orf97","chromosome 16 open reading frame 97"
"364","C16orf98",NA
"365","C17orf103",NA
"366","C17orf104",NA
"367","C17orf112","chromosome 17 open reading frame 112"
"368","C17orf70",NA
"369","C17orf74",NA
"370","C17orf77","chromosome 17 open reading frame 77"
"371","C17orf78","chromosome 17 open reading frame 78"
"372","C17orf99","chromosome 17 open reading frame 99"
"373","C19orf12","chromosome 19 open reading frame 12"
"374","C19orf18","chromosome 19 open reading frame 18"
"375","C19orf24",NA
"376","C19orf35",NA
"377","C19orf66",NA
"378","C1QA","complement C1q A chain"
"379","C1QL2","complement C1q like 2"
"380","C1QTNF3","C1q and TNF related 3"
"381","C1QTNF7","C1q and TNF related 7"
"382","C1QTNF8","C1q and TNF related 8"
"383","C1QTNF9","C1q and TNF related 9"
"384","C1orf105","chromosome 1 open reading frame 105"
"385","C1orf112","chromosome 1 open reading frame 112"
"386","C1orf122","chromosome 1 open reading frame 122"
"387","C1orf170",NA
"388","C1orf173",NA
"389","C1orf177",NA
"390","C1orf185","chromosome 1 open reading frame 185"
"391","C1orf227",NA
"392","C1orf61","chromosome 1 open reading frame 61"
"393","C1orf64",NA
"394","C20orf197","chromosome 20 open reading frame 197"
"395","C20orf78","chromosome 20 open reading frame 78"
"396","C21orf62","chromosome 21 open reading frame 62"
"397","C21orf67",NA
"398","C21orf88",NA
"399","C22orf15","chromosome 22 open reading frame 15"
"400","C22orf31","chromosome 22 open reading frame 31"
"401","C22orf43",NA
"402","C2orf27B","chromosome 2 open reading frame 27B"
"403","C2orf40",NA
"404","C2orf72","chromosome 2 open reading frame 72"
"405","C2orf80","chromosome 2 open reading frame 80"
"406","C2orf82",NA
"407","C2orf83","chromosome 2 open reading frame 83"
"408","C3orf14","chromosome 3 open reading frame 14"
"409","C3orf22","chromosome 3 open reading frame 22"
"410","C3orf35","chromosome 3 open reading frame 35"
"411","C3orf43",NA
"412","C3orf79","chromosome 3 open reading frame 79"
"413","C3orf80","chromosome 3 open reading frame 80"
"414","C3orf83",NA
"415","C4BPA","complement component 4 binding protein alpha"
"416","C4B_2","complement component 4B (Chido blood group), copy 2"
"417","C4orf21",NA
"418","C4orf26",NA
"419","C4orf3","chromosome 4 open reading frame 3"
"420","C4orf32",NA
"421","C4orf40",NA
"422","C4orf45","chromosome 4 open reading frame 45"
"423","C4orf51","chromosome 4 open reading frame 51"
"424","C5orf24","chromosome 5 open reading frame 24"
"425","C5orf46","chromosome 5 open reading frame 46"
"426","C5orf47","chromosome 5 open reading frame 47"
"427","C5orf48",NA
"428","C6orf10",NA
"429","C6orf123",NA
"430","C6orf195",NA
"431","C6orf201","chromosome 6 open reading frame 201"
"432","C6orf58","chromosome 6 open reading frame 58"
"433","C6orf7",NA
"434","C7","complement C7"
"435","C7orf34",NA
"436","C7orf61","chromosome 7 open reading frame 61"
"437","C7orf65","chromosome 7 open reading frame 65"
"438","C7orf69","chromosome 7 open reading frame 69"
"439","C7orf72",NA
"440","C7orf76",NA
"441","C8A","complement C8 alpha chain"
"442","C8B","complement C8 beta chain"
"443","C8orf34","chromosome 8 open reading frame 34"
"444","C8orf46",NA
"445","C8orf69",NA
"446","C9orf131","chromosome 9 open reading frame 131"
"447","C9orf172",NA
"448","C9orf173",NA
"449","C9orf53",NA
"450","C9orf69",NA
"451","C9orf84",NA
"452","C9orf89",NA
"453","C9orf9",NA
"454","CA6","carbonic anhydrase 6"
"455","CA8","carbonic anhydrase 8"
"456","CABLES2","Cdk5 and Abl enzyme substrate 2"
"457","CABP2","calcium binding protein 2"
"458","CABP7","calcium binding protein 7"
"459","CACNA1B","calcium voltage-gated channel subunit alpha1 B"
"460","CACNA1D","calcium voltage-gated channel subunit alpha1 D"
"461","CACNA1G","calcium voltage-gated channel subunit alpha1 G"
"462","CACNA1H","calcium voltage-gated channel subunit alpha1 H"
"463","CACNA2D1","calcium voltage-gated channel auxiliary subunit alpha2delta 1"
"464","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"465","CACNG4","calcium voltage-gated channel auxiliary subunit gamma 4"
"466","CACNG6","calcium voltage-gated channel auxiliary subunit gamma 6"
"467","CADM2-AS2","CADM2 antisense RNA 2"
"468","CADPS","calcium dependent secretion activator"
"469","CAHM","colon adenocarcinoma hypermethylated"
"470","CALB2","calbindin 2"
"471","CALCRL","calcitonin receptor like receptor"
"472","CALD1","caldesmon 1"
"473","CALN1","calneuron 1"
"474","CAMK1D","calcium/calmodulin dependent protein kinase ID"
"475","CAMK2B","calcium/calmodulin dependent protein kinase II beta"
"476","CAMKV","CaM kinase like vesicle associated"
"477","CAMSAP1","calmodulin regulated spectrin associated protein 1"
"478","CAPN14","calpain 14"
"479","CAPN6","calpain 6"
"480","CAPN7","calpain 7"
"481","CAPS2","calcyphosine 2"
"482","CAPSL","calcyphosine like"
"483","CAPZA3","capping actin protein of muscle Z-line subunit alpha 3"
"484","CAPZB","capping actin protein of muscle Z-line subunit beta"
"485","CARD11","caspase recruitment domain family member 11"
"486","CARD8","caspase recruitment domain family member 8"
"487","CASD1","CAS1 domain containing 1"
"488","CASKIN1","CASK interacting protein 1"
"489","CASP10","caspase 10"
"490","CASP12","caspase 12 (gene/pseudogene)"
"491","CASQ2","calsequestrin 2"
"492","CASR","calcium sensing receptor"
"493","CATSPER2","cation channel sperm associated 2"
"494","CATSPER3","cation channel sperm associated 3"
"495","CATSPERB","cation channel sperm associated auxiliary subunit beta"
"496","CAV3","caveolin 3"
"497","CBLN1","cerebellin 1 precursor"
"498","CBS","cystathionine beta-synthase"
"499","CBWD1","COBW domain containing 1"
"500","CBWD6","COBW domain containing 6"
"501","CBX2","chromobox 2"
"502","CC2D2B","coiled-coil and C2 domain containing 2B"
"503","CCDC116","coiled-coil domain containing 116"
"504","CCDC125","coiled-coil domain containing 125"
"505","CCDC129",NA
"506","CCDC146","coiled-coil domain containing 146"
"507","CCDC147",NA
"508","CCDC148","coiled-coil domain containing 148"
"509","CCDC148-AS1","CCDC148 antisense RNA 1"
"510","CCDC160","coiled-coil domain containing 160"
"511","CCDC168","coiled-coil domain containing 168"
"512","CCDC17","coiled-coil domain containing 17"
"513","CCDC172","coiled-coil domain containing 172"
"514","CCDC181","coiled-coil domain containing 181"
"515","CCDC27","coiled-coil domain containing 27"
"516","CCDC60","coiled-coil domain containing 60"
"517","CCDC67",NA
"518","CCDC70","coiled-coil domain containing 70"
"519","CCDC79",NA
"520","CCDC92","coiled-coil domain containing 92"
"521","CCL16","C-C motif chemokine ligand 16"
"522","CCL28","C-C motif chemokine ligand 28"
"523","CCL3L1","C-C motif chemokine ligand 3 like 1"
"524","CCL4L2","C-C motif chemokine ligand 4 like 2"
"525","CCL7","C-C motif chemokine ligand 7"
"526","CCNDBP1","cyclin D1 binding protein 1"
"527","CCNE1","cyclin E1"
"528","CCNI2","cyclin I family member 2"
"529","CCNT1","cyclin T1"
"530","CCR1","C-C motif chemokine receptor 1"
"531","CCR4","C-C motif chemokine receptor 4"
"532","CCR5","C-C motif chemokine receptor 5 (gene/pseudogene)"
"533","CCR6","C-C motif chemokine receptor 6"
"534","CCR8","C-C motif chemokine receptor 8"
"535","CCRL1",NA
"536","CCZ1","CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
"537","CCZ1B","CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
"538","CD101","CD101 molecule"
"539","CD180","CD180 molecule"
"540","CD1A","CD1a molecule"
"541","CD1E","CD1e molecule"
"542","CD2","CD2 molecule"
"543","CD200R1L","CD200 receptor 1 like"
"544","CD22","CD22 molecule"
"545","CD24","CD24 molecule"
"546","CD27","CD27 molecule"
"547","CD28","CD28 molecule"
"548","CD300A","CD300a molecule"
"549","CD40LG","CD40 ligand"
"550","CD5L","CD5 molecule like"
"551","CD69","CD69 molecule"
"552","CD74","CD74 molecule"
"553","CD84","CD84 molecule"
"554","CD86","CD86 molecule"
"555","CD8B","CD8b molecule"
"556","CD99","CD99 molecule (Xg blood group)"
"557","CD99P1","CD99 molecule pseudogene 1"
"558","CDC14C","cell division cycle 14C"
"559","CDC42BPB","CDC42 binding protein kinase beta"
"560","CDC42EP1","CDC42 effector protein 1"
"561","CDH15","cadherin 15"
"562","CDH17","cadherin 17"
"563","CDH18","cadherin 18"
"564","CDH23","cadherin related 23"
"565","CDHR1","cadherin related family member 1"
"566","CDHR3","cadherin related family member 3"
"567","CDHR5","cadherin related family member 5"
"568","CDK16","cyclin dependent kinase 16"
"569","CDK3","cyclin dependent kinase 3"
"570","CDK5R1","cyclin dependent kinase 5 regulatory subunit 1"
"571","CDK6","cyclin dependent kinase 6"
"572","CDK9","cyclin dependent kinase 9"
"573","CDKN2A","cyclin dependent kinase inhibitor 2A"
"574","CDKN2B","cyclin dependent kinase inhibitor 2B"
"575","CDKN2B-AS1","CDKN2B antisense RNA 1"
"576","CDT1","chromatin licensing and DNA replication factor 1"
"577","CDV3","CDV3 homolog"
"578","CDY1","chromodomain Y-linked 1"
"579","CDY2A","chromodomain Y-linked 2A"
"580","CDYL","chromodomain Y like"
"581","CEACAM19","CEA cell adhesion molecule 19"
"582","CEACAM20","CEA cell adhesion molecule 20"
"583","CEBPB","CCAAT enhancer binding protein beta"
"584","CECR6",NA
"585","CECR7","cat eye syndrome chromosome region, candidate 7"
"586","CELA2A","chymotrypsin like elastase 2A"
"587","CELA2B","chymotrypsin like elastase 2B"
"588","CELP","carboxyl ester lipase pseudogene"
"589","CELSR1","cadherin EGF LAG seven-pass G-type receptor 1"
"590","CEND1","cell cycle exit and neuronal differentiation 1"
"591","CENPVP1",NA
"592","CEP170B","centrosomal protein 170B"
"593","CEP170P1","centrosomal protein 170 pseudogene 1"
"594","CEP57L1","centrosomal protein 57 like 1"
"595","CEP85L","centrosomal protein 85 like"
"596","CERK","ceramide kinase"
"597","CERS1","ceramide synthase 1"
